# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-air 17:u 18:T 19:M_local 20:total_p
1.808206249999976478e+00 5.625000000000253278e-04 0.000000000000000000e+00 2.714062499999548010e-06 2.801589848477066824e-01 1.614117550540432148e+03 -2.734183287868629186e+00 0.000000000000000000e+00 9.914928356218435511e+04 7.038928123173922131e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 8.847590914858710021e+05 1.232670273506475951e+03 2.293133042467448757e+00 1.226540892944576219e+06
1.808206249999843029e+00 1.687499999999971141e-03 0.000000000000000000e+00 2.714062499999857177e-06 2.585394435248692946e-01 1.548243073669464138e+03 -7.451914606724809431e+00 0.000000000000000000e+00 9.930596260893931321e+04 7.333111284877948037e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.602593056500770617e+05 1.337859211986093442e+03 2.111328939357540069e+00 9.243389820659792749e+05
1.808206249999998683e+00 2.812499999999919231e-03 0.000000000000000000e+00 2.714062499999733087e-06 2.641944889841279509e-01 1.562470586046050130e+03 -1.220633003437726316e+01 0.000000000000000000e+00 9.915876539078238420e+04 7.248826351452773906e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.383122048842167715e+05 1.307281918162196689e+03 2.155546551533459532e+00 9.890346896361676045e+05
1.808206249999556148e+00 3.937499999999574153e-03 0.000000000000000000e+00 2.714062499999714875e-06 2.633154800366596660e-01 1.562089020676781274e+03 -1.765624886462226684e+01 0.000000000000000000e+00 9.909575134416762739e+04 7.258607940547999533e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.408462363319015130e+05 1.310812399247670101e+03 2.152187877249584602e+00 9.832272239905265160e+05
1.808206249999701143e+00 5.062499999999071215e-03 0.000000000000000000e+00 2.714062499999916893e-06 2.637683166976551585e-01 1.568674333509341523e+03 -2.280827559808118465e+01 0.000000000000000000e+00 9.900927654526766855e+04 7.249209443381654410e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.384113848931030370e+05 1.307420098430539156e+03 2.164153417488653641e+00 1.000929620721557294e+06
1.808206250000082838e+00 6.187500000000009832e-03 0.000000000000000000e+00 2.714062499999548010e-06 2.710609154805557752e-01 1.585200517722415498e+03 -2.729029417869730523e+01 0.000000000000000000e+00 9.904229582936175575e+04 7.152220858502622605e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.134689858714288566e+05 1.272669674140103780e+03 2.216703653423341525e+00 1.087082239199046046e+06
1.808206249999775084e+00 7.312499999999434903e-03 0.000000000000000000e+00 2.714062499999881317e-06 2.733147204898155880e-01 1.590862681611485868e+03 -3.257269825057510104e+01 0.000000000000000000e+00 9.874948303632829629e+04 7.112133853992199874e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.032579992339635501e+05 1.258443451643720664e+03 2.237297750762903270e+00 1.119375478386803297e+06
1.808206250000196524e+00 8.437500000001096900e-03 0.000000000000000000e+00 2.714062499999316770e-06 2.733036092056129185e-01 1.591121146151336688e+03 -3.781896067843911169e+01 0.000000000000000000e+00 9.859967468905953865e+04 7.106881521452925199e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.019243742851619609e+05 1.256585409328909918e+03 2.239478078528151617e+00 1.121498195096513955e+06
1.808206249999820159e+00 9.562499999999347564e-03 0.000000000000000000e+00 2.714062499999851248e-06 2.768827571101616369e-01 1.602847310912284456e+03 -4.261319634818409696e+01 0.000000000000000000e+00 9.846829176045193162e+04 7.056092481604176783e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 8.890793055169821018e+05 1.238689312431967892e+03 2.272381875511335636e+00 1.179195246279897867e+06
1.808206249999976478e+00 1.068749999999998174e-02 0.000000000000000000e+00 2.714062499999548010e-06 2.805295867427599066e-01 1.617580704276108008e+03 -4.823653856564892806e+01 0.000000000000000000e+00 9.812025072272925172e+04 6.997678839014802179e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 8.744198059642063454e+05 1.218265301537837331e+03 2.312623646615971751e+00 1.251395573147027753e+06
